Store Number,Average Daily Customers,Average Daily Splashtastic Sales (Units),Average Daily Splashtastic Sales (Dollars),Average Total Daily Sales (all products),Average Percentage of Total Sales - Splashtastic ,,Average Percentage of Total Sales Coming From Splashtastic (all stores)
1,120,6,$25.02,"$2,686.00",0.93,,1.24%
2,144,18,$75.06,"$4,291.00",1.75,,
3,394,13,$54.21,"$5,168.00",1.05,,
4,122,17,$70.89,"$2,844.00",2.49,,
5,132,3,$12.51,"$3,241.00",0.39,,
6,140,10,$41.70,"$3,865.00",1.08,,
7,139,4,$16.68,"$3,772.00",0.44,,
8,256,16,$66.72,"$4,540.00",1.47,,
9,306,20,$83.40,"$4,757.00",1.75,,
10,129,7,$29.19,"$3,130.00",0.93,,
11,118,18,$75.06,"$2,632.00",2.85,,
12,372,16,$66.72,"$4,950.00",1.35,,
13,396,11,$45.87,"$5,220.00",0.88,,
14,357,1,$4.17,"$4,808.00",0.09,,
15,138,20,$83.40,"$3,619.00",1.10,,
16,383,18,$75.06,"$5,133.00",1.46,,
17,132,8,$33.36,"$3,259.00",1.02,,
18,390,16,$66.72,"$5,152.00",1.30,,
19,149,5,$20.85,"$4,377.00",0.48,,
20,360,19,$79.23,"$4,844.00",1.64,,
21,141,16,$66.72,"$3,906.00",1.71,,
22,296,19,$79.23,"$4,594.00",1.72,,
23,367,3,$12.51,"$4,883.00",0.26,,
24,112,9,$37.53,"$2,376.00",1.58,,
25,133,17,$70.89,"$3,313.00",2.14,,
26,124,13,$54.21,"$3,003.00",1.81,,
27,396,19,$79.23,"$5,256.00",1.51,,
28,306,7,$29.19,"$4,764.00",0.61,,
29,134,6,$25.02,"$3,364.00",0.74,,
30,299,2,$8.34,"$4,726.00",0.18,,
31,207,15,$62.55,"$4,415.00",1.42,,
32,137,14,$58.38,"$3,596.00",1.62,,
33,119,4,$16.68,"$2,684.00",0.62,,
34,128,4,$16.68,"$3,026.00",0.55,,
35,135,13,$54.21,"$3,485.00",1.56,,
36,298,7,$29.19,"$4,605.00",0.63,,
37,110,17,$70.89,"$2,279.00",3.11,,
38,130,7,$29.19,"$3,135.00",0.93,,