Date,Client,Estimate,Total,Paid,,,,,,,,,,,,
1/1/2014,Valando,"£2,252.00","£2,139.40",Paid,,,,,,,,,,,95,0.95
1/2/2014,Livaca,"£2,512.00","£3,215.36",Paid,,,,,,,,,,,128,1.28
1/6/2014,Skodour,"£2,551.00","£3,290.79",Paid,,,,,,,,,,,129,1.29
1/15/2014,Symteco,£905.00,£868.80,Paid,,,,,,,,,,,96,0.96
1/28/2014,Eco Blvd,£677.00,£636.38,Paid,,,,,,,,,,,94,0.94
2/11/2014,Symteco,"£2,407.00","£1,757.11",Paid,,,,,,,,,,,73,0.73
2/18/2014,Valando,"£2,271.00","£2,929.59",Paid,,,,,,,,,,,129,1.29
2/18/2014,Valando,"£2,271.00","£2,929.59",Paid,,,,,,,,,,,129,1.29
2/21/2014,Symteco,"£1,153.00","£1,291.36",Paid,,,,,,,,,,,112,1.12
3/26/2014,Symteco,"£2,560.00","£2,457.60",Unpaid,,,,,,,,,,,96,0.96
4/3/2014,Skodour,£841.00,£698.03,Paid,,,,,,,,,,,83,0.83
4/4/2014,Symteco,"£1,860.00","£1,413.60",Paid,,,,,,,,,,,76,0.76
4/22/2014,Eco Blvd,"£1,410.00","£1,099.80",Paid,,,,,,,,,,,78,0.78
5/20/2014,Symteco,"£2,809.00","£3,005.63",Unpaid,,,,,,,,,,,107,1.07
5/29/2014,Greenlytic,£138.00,£144.90,Unpaid,,,,,,,,,,,105,1.05
7/18/2014,Symteco,£564.00,£468.12,Paid,,,,,,,,,,,83,0.83
7/23/2014,Skodour,"£1,075.00",£817.00,Unpaid,,,,,,,,,,,76,0.76
8/13/2014,Symteco,£704.00,£788.48,Unpaid,,,,,,,,,,,112,1.12
10/15/2014,Eco Blvd,"£1,390.00","£1,640.20",Paid,,,,,,,,,,,118,1.18
10/24/2014,Energy Hint,"£2,796.00","£2,851.92",Unpaid,,,,,,,,,,,102,1.02
11/18/2014,Skodour,"£2,575.00","£2,446.25",Unpaid,,,,,,,,,,,95,0.95