User number,Q1: How many times a year do you do a DIY project?,Q2: About how much do you spend on home-improvement each year?,Q3: Do you plan to complete a DIY project that involves painting in the next year?,"Q4: If you answered yes to question 3, about how much do you plan to spend on indoor paint for the project?","Q5: If Meer-Kitty offered indoor paint, how likely are you to purchase our product?"
799,1-2,Less than $100,Yes,Less than $50,Somewhat likely
806,3-5,$101-$250,No,,
933,none,$101-$250,No,,
588,7 or more,"$501-$1,000",Yes,$101-$250,Very likely
597,1-2,"$501-$1,000",Yes,$51-$100,Very likely
333,3-5,Less than $100,Yes,,Somewhat likely
588,7 or more,"$501-$1,000",Yes,$101-$250,Very likely
278,1-2,"More than $1,000",Yes,$101-$150,Unlikely
209,none,$101-$250,No,,
588,7 or more,"$501-$1,000",Yes,$101-$250,Very likely
555,3-5,Less than $100,No,,
755,1-2,"$501-$1,000",Yes,$51-$100,Very likely
884,none,$101-$250,Yes,Less than $50,Somewhat likely
588,7 or more,"$501-$1,000",Yes,$101-$250,Very likely
611,none,"$501-$1,000",Yes,$101-$250,Unlikely
775,1-2,$101-$250,Yes,Less than $50,Somewhat likely
588,7 or more,"$501-$1,000",Yes,$101-$250,Very likely
313,none,Less than $100,No,,
785,1-2,Less than $100,Yes,,Somewhat likely
588,7 or more,"$501-$1,000",Yes,$101-$250,Very likely
352,none,$101-$250,No,,
245,none,Less than $100,No,,
588,7 or more,"$501-$1,000",Yes,$101-$250,Very likely
889,3-5,$101-$250,Yes,$101-$150,Unlikely
216,7 or more,"$501-$1,000",Yes,$101-$250,Very likely
684,1-2,$251-$500,No,,
588,7 or more,"$501-$1,000",Yes,$101-$250,Very likely
250,1-2,Less than $100,Yes,,Unlikely
248,7 or more,"$501-$1,000",Yes,$101-$250,Very likely
683,1-2,"More than $1,000",No,,
232,1-2,$101-$250,Yes,Less than $50,Somewhat likely
588,7 or more,"$501-$1,000",Yes,$101-$250,Very likely
588,7 or more,Less than $100,No,,
673,1-2,"$501-$1,000",No,,
613,3-5,$101-$250,Yes,$101-$150,Very likely
467,none,Less than $100,Yes,,Unlikely
588,7 or more,"$501-$1,000",Yes,$101-$250,Very likely
208,1-2,$101-$250,Yes,$101-$150,Unlikely
860,3-5,$251-$500,No,,
705,1-2,Less than $100,No,,